YYYYMMDD,Sample,Year,Month,Day,Bakun_Index_ 51N_131W,Bakun_Index_ 48N_125W
19680328,453,1968,03,28,-9,-13
19680329,454,1968,03,29,77,108
19680330,455,1968,03,30,-15,-4
19680331,456,1968,03,31,3,-24
19680401,457,1968,04,01,73,25
19680402,458,1968,04,02,-25,34
19680403,459,1968,04,03,-99,-33
19680404,460,1968,04,04,30,4
19680405,461,1968,04,05,28,67
19680406,462,1968,04,06,73,86
19680407,463,1968,04,07,-36,20
19680408,464,1968,04,08,-147,-6
19680409,465,1968,04,09,39,10
19680410,466,1968,04,10,105,130
19680411,467,1968,04,11,208,244
19680412,468,1968,04,12,13,76
19680413,469,1968,04,13,38,-36
19680414,470,1968,04,14,119,-14
19680415,471,1968,04,15,76,65
19680416,472,1968,04,16,14,51
19680417,473,1968,04,17,-53,-4
19680418,474,1968,04,18,58,36
19680419,475,1968,04,19,92,97
19680420,476,1968,04,20,27,51
19680421,477,1968,04,21,-196,2
19680422,478,1968,04,22,-224,-72
19680423,479,1968,04,23,-33,7
19680424,480,1968,04,24,-58,-65
19680425,481,1968,04,25,16,-3
19680426,482,1968,04,26,-15,4
19680427,483,1968,04,27,-31,-6
19680428,484,1968,04,28,-85,2
19680429,485,1968,04,29,6,33
19680430,486,1968,04,30,18,144
19680501,487,1968,05,01,-32,-6
19680502,488,1968,05,02,-7,17
19680503,489,1968,05,03,39,36
19680504,490,1968,05,04,394,201
19680505,491,1968,05,05,169,51
19680506,492,1968,05,06,19,30
19680507,493,1968,05,07,-4,33
19680508,494,1968,05,08,42,23
19680509,495,1968,05,09,44,20
19680510,496,1968,05,10,59,36
19680511,497,1968,05,11,212,106
19680512,498,1968,05,12,91,68
19680513,499,1968,05,13,30,29
19680514,500,1968,05,14,6,22
19680515,501,1968,05,15,-2,22
19680516,502,1968,05,16,4,17
19680517,503,1968,05,17,-3,27
19680518,504,1968,05,18,-2,6
19680519,505,1968,05,19,-92,-29
19680520,506,1968,05,20,-56,-32
19680521,507,1968,05,21,-47,-60
19680522,508,1968,05,22,-35,-16
19680523,509,1968,05,23,-19,6
19680524,510,1968,05,24,-32,3
19680525,511,1968,05,25,-17,45
19680526,512,1968,05,26,-14,2
19680527,513,1968,05,27,-12,2
19680528,514,1968,05,28,-5,27
19680529,515,1968,05,29,14,47
19680530,516,1968,05,30,-6,17
19680531,517,1968,05,31,-350,-107
19680601,518,1968,06,01,-177,-94
19680602,519,1968,06,02,-4,44
19680603,520,1968,06,03,1,52
19680604,521,1968,06,04,10,54
19680605,522,1968,06,05,31,78
19680606,523,1968,06,06,72,99
19680607,524,1968,06,07,37,76
19680608,525,1968,06,08,-19,32
19680609,526,1968,06,09,-66,-7
19680610,527,1968,06,10,-39,43
19680611,528,1968,06,11,-63,5
19680612,529,1968,06,12,-31,-51
19680613,530,1968,06,13,-4,-6
19680614,531,1968,06,14,-3,0
19680615,532,1968,06,15,-6,16
19680616,533,1968,06,16,-8,28
19680617,534,1968,06,17,-125,15
19680618,535,1968,06,18,-55,43
19680619,536,1968,06,19,22,93
19680620,537,1968,06,20,-1,31
19680621,538,1968,06,21,-41,-17
19680622,539,1968,06,22,27,17
19680623,540,1968,06,23,-3,19
19680624,541,1968,06,24,-17,12
19680625,542,1968,06,25,14,-3
19680626,543,1968,06,26,32,28
19680627,544,1968,06,27,38,88
19680628,545,1968,06,28,128,67
19680629,546,1968,06,29,76,53
19680630,547,1968,06,30,20,29
19680701,548,1968,07,01,13,7
19680702,549,1968,07,02,6,15
19680703,550,1968,07,03,0,17
19680704,551,1968,07,04,-7,81
19680705,552,1968,07,05,4,92
19680706,553,1968,07,06,-4,81
19680707,554,1968,07,07,-49,47
19680708,555,1968,07,08,0,54
19680709,556,1968,07,09,-18,35
19680710,557,1968,07,10,-72,-7
19680711,558,1968,07,11,13,-11
19680712,559,1968,07,12,3,39
19680713,560,1968,07,13,-46,-11
19680714,561,1968,07,14,6,-12
19680715,562,1968,07,15,18,6
19680716,563,1968,07,16,7,17
19680717,564,1968,07,17,4,34
19680718,565,1968,07,18,27,30
19680719,566,1968,07,19,89,53
19680720,567,1968,07,20,31,61
19680721,568,1968,07,21,30,87
19680722,569,1968,07,22,26,67
19680723,570,1968,07,23,10,42
19680724,571,1968,07,24,12,47
19680725,572,1968,07,25,7,55
19680726,573,1968,07,26,4,45
19680727,574,1968,07,27,13,63
19680728,575,1968,07,28,19,68
19680729,576,1968,07,29,73,88
19680730,577,1968,07,30,76,28
19680731,578,1968,07,31,92,17
19680801,579,1968,08,01,106,66
19680802,580,1968,08,02,132,63
19680803,581,1968,08,03,138,88
19680804,582,1968,08,04,106,111
19680805,583,1968,08,05,54,49
19680806,584,1968,08,06,6,24
19680807,585,1968,08,07,7,48
19680808,586,1968,08,08,22,18
19680809,587,1968,08,09,34,29
19680810,588,1968,08,10,40,46
19680811,589,1968,08,11,-1,53
19680812,590,1968,08,12,3,35
19680813,591,1968,08,13,54,22
19680814,592,1968,08,14,36,59
19680815,593,1968,08,15,27,35
19680816,594,1968,08,16,-9,16
19680817,595,1968,08,17,-21,16
19680818,596,1968,08,18,-28,-4
19680819,597,1968,08,19,33,-2
19680820,598,1968,08,20,46,7
19680821,599,1968,08,21,-23,8
19680822,600,1968,08,22,-26,-45
19680823,601,1968,08,23,-15,-18
19680824,602,1968,08,24,-16,-14
19680825,603,1968,08,25,0,-4
19680826,604,1968,08,26,-45,-39
19680827,605,1968,08,27,-9,-23
